"","Valor.Venta","int","precio.Metro2.casa","precio.Metro2.apart","n.banos","n.medio.banos","n.hab","zona","n.parqueaderos","tipo.inmueble","m.cuadra","km.parque","km.centrocom","km.estadio"
"1",2847.712,0.088,8.68753809989321,2.76321766407751,2,1,1,5,1,0,201.2,20.56,0.7,48.11
"2",3092.55,0.075,8.38723033810424,6.55679677554348,3,2,2,2,3,0,196.6,22.98,1.28,178.69
"3",3193.61,0.091,8.09828439595747,5.37624461956672,3,1,3,5,2,0,195.2,17.89,6.25,157.43
"4",3182.829,0.087,7.8240754061821,7.31445400751571,3,1,3,3,1,0,197.4,7.75,0.87,107.82
"5",3135.283,0.073,8.76462724932319,6.34345999070946,2,1,2,3,2,1,202,15.59,9.33,173.67
"6",2892.098,0.087,6.79236402192029,3.28124590123295,2,1,1,2,3,0,202.6,21.16,1.55,81.86
"7",2836.327,0.08,7.34167904951027,6.17649691163007,1,1,1,2,3,1,197.6,6.53,7.23,118.18
"8",2772.757,0.075,8.33744850821808,5.11133547519275,1,1,1,2,3,0,195.2,24.47,2.13,152.71
"9",3032.03,0.063,8.99851166631812,7.60056781393201,2,1,2,3,2,0,198.8,14.53,7.16,189.01
"10",3200.674,0.096,8.23644601592744,5.50950318361513,3,2,2,5,1,1,198.8,16.85,0.37,30.36
"11",3348.35,0.084,8.01861006642979,7.72339991440908,4,2,3,2,1,0,199.8,13.25,6.58,74.17
"12",2889.576,0.074,8.51981856916455,4.17818099810485,1,1,1,2,3,0,217,14.06,5.61,60.01
"13",2629.809,0.054,5.19612590742322,1.59995348267272,1,0,1,1,1,0,196.8,24.33,7.12,85.66
"14",3208.003,0.089,8.3769162398289,8.10970669848305,4,1,2,1,2,0,197.8,9.2,2.43,192.25
"15",2818.995,0.092,6.44264139676185,5.27462226058762,2,1,1,1,2,0,196.4,28.25,6.13,92.07
"16",3340.839,0.099,6.10607339397992,5.00539773489964,3,1,3,3,3,1,199.2,20.64,0.54,181.39
"17",2836.575,0.067,8.20561507813847,6.17439923286913,1,1,1,5,2,1,197.8,2.55,6.92,47.53
"18",2932.227,0.098,7.4353684403487,6.00428609038011,2,2,2,2,1,0,200.8,2.33,1.1,142.37
"19",3259.245,0.081,6.66638462308717,7.81347991748063,3,2,2,2,2,1,198.6,5.16,4.53,115.12
"20",2810.218,0.084,7.80902655825263,7.89519409588818,1,1,1,4,2,0,199,17.7,0.5,11.44
"21",2751.769,0.082,7.42555058889853,5.59201427314146,1,1,1,2,2,0,204.6,4.14,7.33,27.6
"22",3148.284,0.058,7.23506134390244,4.4664775155139,3,2,2,1,2,1,198.6,8.76,4.49,62.64
"23",2995.622,0.095,10.0539735634897,5.015090647089,2,1,2,3,2,0,199,5.46,8.11,19.12
"24",2916.786,0.054,8.69129823591569,6.33357714541416,1,1,1,2,3,0,217.6,17.62,9.53,190.16
"25",2825.921,0.098,6.43073786418076,6.08087978290904,1,0,1,5,3,1,201.2,3.67,8.2,127.58
"26",2724.576,0.065,6.58285810268124,5.57358223541766,1,0,1,4,2,0,199.6,19.77,5.32,147.98
"27",3350.081,0.06,6.7447728512368,7.59936485056142,4,2,3,3,3,0,201.4,11.12,4.8,114.75
"28",2836.128,0.055,7.5837791009997,4.68687684436754,2,1,1,1,1,0,201.6,21.66,1.94,25.93
"29",2950.459,0.085,4.863655402615,5.23495688473797,2,1,2,5,3,0,200.2,3.96,8.89,199.05
"30",2742.546,0.056,6.97106752122056,6.21805895316916,1,1,1,3,2,0,198.6,25.33,3.01,55.6
"31",2842.701,0.055,8.79304146090366,5.95173826690156,1,1,1,2,1,1,203,16.04,9.02,63.5
"32",3190.966,0.051,5.64474032099607,4.09631656372989,3,1,2,2,3,1,204.4,11.22,5.06,198.91
"33",2820.121,0.053,7.32432592581864,3.70004974912132,1,0,1,1,2,1,198,19.07,3.05,163.21
"34",2740.343,0.058,7.33918651842665,5.88149644146202,1,0,1,3,2,0,199.2,4.02,3.52,108.86
"35",2907.095,0.069,7.02100396340353,4.67765975268033,2,2,1,4,2,1,197.6,6.56,8.26,46.56
"36",2862.18,0.061,7.93300092289552,5.21569805001177,2,1,1,5,2,0,200.6,4.43,8.43,35.42
"37",2924.78,0.077,8.40250610258178,5.56690356329959,2,1,1,1,1,1,203,4.33,8.67,70.85
"38",3288.026,0.058,5.79114847800973,4.89917762020023,3,1,3,2,2,0,203.8,29.58,2.58,7.55
"39",3408.796,0.087,6.54541267727769,6.91414551507341,4,1,4,2,1,0,201.2,15.09,3.14,128.9
